Episode,Season,Episode Number,Original Airdate,Episode Description,Thumbnail Link,Hyperlink
"""Blockheads""",16,3b,17-Oct-12,D.W. and Emily are upset when they get stuck with the blocks at playtime. But apathy turns to obsession when they begin building their dream house. Forget snacks and naptime! They've got a palastle to build!,https://static.wikia.nocookie.net/arthur/images/7/79/Blockheads.JPG/revision/latest?cb=20160903100620,https://arthur.fandom.com/wiki/Blockheads
"""Get Smart""",16,4a,18-Oct-12,"Everyone loves HUGO-the new interactive whiteboard that claims to be 100% accurate. If only Mr. Ratburn knew how to use it. After a crash course from the Brain, Mr. Ratburn embraces the high tech teaching tool; that is, until HUGO corrects him in front of the class. Let the battle of rat vs. machine begin!",https://static.wikia.nocookie.net/arthur/images/b/be/Get_Smart.JPG/revision/latest?cb=20200320195304,https://arthur.fandom.com/wiki/Get_Smart
"""Baby Steps""",16,4b,18-Oct-12,"Mei Lin can say ""hello"" and play the piano?!? Kate can't even wave! Worried about her sister's future, D.W. enlists the help of the Brain to determine if Kate is above average, below average, or (gulp!) just average-average. Meanwhile, Kate and Pal are puzzled by D.W.'s odd behavior and vow to find a ""cure"".",https://static.wikia.nocookie.net/arthur/images/3/3e/Baby_Steps.JPG/revision/latest?cb=20121121021523,https://arthur.fandom.com/wiki/Baby_Steps
"""Night of the Tibble""",16,5a,19-Oct-12,"The Tibble Twins are having their first sleepover! The lucky victim...err, guest: James. Will they lock him in the dark basement, strap him to the terrifying Flatter Fling, and serve him cupcakes and cookies for dinner?!?",https://static.wikia.nocookie.net/arthur/images/c/c7/Arthur-193A-Night.jpg/revision/latest?cb=20140213045054,https://arthur.fandom.com/wiki/Night_of_the_Tibble
"""Read and Flumberghast""",16,5b,19-Oct-12,A cupcake's been stolen! The primary suspect: Tommy Tibble. D.W. gathers a jury and demands that justice be served. Can she get him to confess? Or will she lose control of this kangaroo court?,https://static.wikia.nocookie.net/arthur/images/f/f1/Read_and_Flumberghast.JPG/revision/latest?cb=20150602062753,https://arthur.fandom.com/wiki/Read_and_Flumberghast
"""The Last Tough Customer""",16,6a,6-May-13,The Tough Customers realize it's time to quit bullying and set out to find a new hobby - but can Molly ever change her ways?,https://static.wikia.nocookie.net/arthur/images/1/18/The_Last_Tough_Customer_Ice_Cream_Shop.jpg/revision/latest?cb=20150206065815,https://arthur.fandom.com/wiki/The_Last_Tough_Customer
"""Brain's Chess Mess""",16,6b,6-May-13,"The Brain starts a chess club at school to improve his game and beat Los Dedos, the local chess master. Who knew the best player in the club would be...Rattles?!?",https://static.wikia.nocookie.net/arthur/images/6/69/BCM_Screenshot.png/revision/latest?cb=20150602071250,https://arthur.fandom.com/wiki/Brain%27s_Chess_Mess
"""Baseball Blues""",16,7a,7-May-13,"It's Grebelings season and George can't wait to play! After all, no one knows more about baseball than him. But when he realizes knowledge of sinkers doesn't guarantee success in the field, will he throw in the towel?",https://static.wikia.nocookie.net/arthur/images/f/f5/BusterandArthur.jpg/revision/latest?cb=20200320195121,https://arthur.fandom.com/wiki/Baseball_Blues
"""Brain's Biggest Blunder""",16,7b,7-May-13,"When the Brain gets teamed with Buster and Binky in the annual Arithmattack competition, he immediately enrolls Buster in binomial boot camp. Can the Brain transform Buster into a mathematic marvel? Or will he be forced to eat humble pi?",https://static.wikia.nocookie.net/arthur/images/7/74/Bbb.PNG/revision/latest?cb=20130709152944,https://arthur.fandom.com/wiki/Brain%27s_Biggest_Blunder
"""Buster's Book Battle""",16,8a,8-May-13,Lakewood Elementary has just instituted IRP: a program where kids can earn points (and prizes!) for reading. Buster is thrilled and gets to work straight away! But will he earn enough points for a skateboard?,https://static.wikia.nocookie.net/arthur/images/c/c7/Busterbookbattle.PNG/revision/latest?cb=20130728044404,https://arthur.fandom.com/wiki/Buster%27s_Book_Battle
"""On the Buster Scale""",16,8b,8-May-13,"Buster and the Brain never agree on movies. Buster rates every film a 10+, while the Brain doesn't seem to like anything. Only one of them can be right...or so they think.",https://static.wikia.nocookie.net/arthur/images/3/3c/Busterscale.PNG/revision/latest?cb=20130709154200,https://arthur.fandom.com/wiki/On_the_Buster_Scale
"""Fern and the Case of the Stolen Story""",16,9a,9-May-13,"The unthinkable has happened! Fern has writer's block! Fortunately, Ladonna is full of stories. Faced with a tight deadline, Fern decides to ""borrow"" the tales and simply change the names. Has Fern confused write and wrong?",https://static.wikia.nocookie.net/arthur/images/6/69/Ladonna_and_Fern.png/revision/latest?cb=20150605080450,https://arthur.fandom.com/wiki/Fern_and_the_Case_of_the_Stolen_Story
"""Sue Ellen Vegges Out""",16,9b,9-May-13,"When Sue Ellen decides to stop eating meat, Muffy and Francine compete to be the best vegetarian. Can they successfully resist meat? Or was this a missed steak?",https://static.wikia.nocookie.net/arthur/images/c/c7/Sue_Ellen_Vegges_Out_Screenshot.PNG/revision/latest?cb=20150602060725,https://arthur.fandom.com/wiki/Sue_Ellen_Vegges_Out
"""So Funny I Forgot to Laugh""",16,10a,10-May-13,Arthur thinks his jokes about Sue Ellen's new sweater are all in good fun but Sue Ellen's feelings are hurt. Has Arthur become...a bully?,https://static.wikia.nocookie.net/arthur/images/b/bc/Sfiftl.png/revision/latest?cb=20150602061013,https://arthur.fandom.com/wiki/So_Funny_I_Forgot_to_Laugh
"""The Best Day Ever""",16,10b,10-May-13,"It's a beautiful afternoon and everyone is reminiscing about their best days."" Everyone, that is, except Arthur. Is it possible he doesn't have one?",https://static.wikia.nocookie.net/arthur/images/3/31/The_Best_Day_Ever.jpg/revision/latest?cb=20150602061331,https://arthur.fandom.com/wiki/The_Best_Day_Ever
"""Show Off""",17,1a,11-Nov-13,"It's the Elwood City dog show and Killer is facing off against Sebastian Winkleplotz, the snooty, championship-winning poodle. At stake: the Reads' honor. Can Killer's coach, Pal, transform her from combative canine to sophisticated show dog?",https://static.wikia.nocookie.net/arthur/images/1/16/Show_Off_main_image.png/revision/latest?cb=20190829005756,https://arthur.fandom.com/wiki/Show_Off
"""Dog's Best Friend""",17,1b,11-Nov-13,"Arthur agrees to watch Amigo while Alberto is away at camp. At first Pal is thrilled to have the company! (He even teaches Amigo his coveted table begging secrets!) But when Arthur appears to favor Amigo during a game of catch, Pal begins to worry that he's lost his place as top dog.",https://static.wikia.nocookie.net/arthur/images/4/43/Dog%27s_Best_Friend_main_image.png/revision/latest?cb=20190829005802,https://arthur.fandom.com/wiki/Dog%27s_Best_Friend
"""Adventures in Budylon""",17,2a,12-Nov-13,"D.W. and Bud embark on an epic wilderness adventure! Dense jungles, mystical ruins...the backyard has never been so exciting!",https://static.wikia.nocookie.net/arthur/images/9/96/Adventures_in_Budylon_main_image.png/revision/latest?cb=20190829005809,https://arthur.fandom.com/wiki/Adventures_in_Budylon
"""Ladonna Compson: Party Animal""",17,2b,12-Nov-13,"Apple picking, bake sales, craft classes...there's so much to do in Elwood City in the fall! And Ladonna is determined to do it all. But when you're juggling so much at once, you're bound to drop a ball...or five.",https://static.wikia.nocookie.net/arthur/images/7/77/Lcpa.png/revision/latest?cb=20190817235230,https://arthur.fandom.com/wiki/Ladonna_Compson:_Party_Animal
"""Molina's Mulligan""",17,3a,13-Nov-13,Alberto discovers that he has a natural talent for golf and begins competing at the local country club. But will his dad's over-enthusiastic and embarrassing cheers cause him to give up the sport altogether?,https://static.wikia.nocookie.net/arthur/images/f/f7/Molinasmulliganscreenshot_uk.jpg/revision/latest?cb=20131127155401,https://arthur.fandom.com/wiki/Molina%27s_Mulligan
"""Buster Bombs""",17,3b,13-Nov-13,"The unthinkable has happened! Buster has lost his flair for funny, and the harder he tries to make people laugh, the worse it gets. Fortunately, comic legend Vince Ruckles is on hand to teach Buster the true secret to comedy.",https://static.wikia.nocookie.net/arthur/images/1/13/Buster_Bombs.JPG/revision/latest?cb=20131026012046,https://arthur.fandom.com/wiki/Buster_Bombs
"""Opposites Distract""",17,4a,14-Nov-13,"Arthur and Buster are best friends. But when a leaky roof forces Arthur to study in Buster's room, they discover that they make better friends than roommates.",https://static.wikia.nocookie.net/arthur/images/9/9b/Opposites_Distract_main_image.png/revision/latest?cb=20190828233034,https://arthur.fandom.com/wiki/Opposites_Distract
"""Just the Ticket""",17,4b,14-Nov-13,"Arthur's ecstatic when he wins free concert tickets on the radio. They're even in the front row! The problem is, he can only take one friend. Let the pestering begin!",https://static.wikia.nocookie.net/arthur/images/f/fc/Just_the_Ticket_main_image.png/revision/latest?cb=20190828224932,https://arthur.fandom.com/wiki/Just_the_Ticket
"""All Thumbs""",17,5a,15-Nov-13,"When Arthur catches Buster sucking his thumb, Buster worries that Arthur will tell the entire school. Can he stay mum? Or is this secret just too juicy not to share?",https://static.wikia.nocookie.net/arthur/images/6/67/Allthumbs.png/revision/latest?cb=20200325235153,https://arthur.fandom.com/wiki/All_Thumbs
"""Kidonia""",17,5b,15-Nov-13,"Tired of doing chores, Arthur and his friends decide to invent their own country: Kidonia. But when there are no rules, no laws, and no chores, someone's bound to ruffle a few feathers. Will this kid-ruled utopia flourish or descend into anarchy?",https://static.wikia.nocookie.net/arthur/images/a/a0/1705bmi.jpg/revision/latest?cb=20141016011825,https://arthur.fandom.com/wiki/Kidonia
"""Speak Up, Francine!""",17,6a,21-Apr-14,The local creek is polluted! The culprit: pesticide run-off from neighborhood lawns. Francine is determined to get the word out at the annual Earth Day rally. But will a crippling fear of public speaking derail this aspiring environmental activist?,https://static.wikia.nocookie.net/arthur/images/0/0d/Speak_Up%2C_Francine%21.png/revision/latest?cb=20190829004547,"https://arthur.fandom.com/wiki/Speak_Up,_Francine!"
"""Waiting for Snow""",17,6b,21-Apr-14,"Ladonna can't wait to experience her first blizzard. Skiing, sledding...SNOW DAYS!! If only the weather would cooperate. Can Arthur and Buster help make her snowy dreams a reality?",https://static.wikia.nocookie.net/arthur/images/8/83/Waiting_for_Snow_main_image.png/revision/latest?cb=20190829005928,https://arthur.fandom.com/wiki/Waiting_for_Snow
"""Pets and Pests""",17,7a,22-Apr-14,"There's a mouse loose in the Reads' house! And D.W. wants it gone...NOW! When traps fail, Arthur enlists the help of an expert mouse catcher...a fearless hunter who laughs in the face of danger: Nemo??",https://static.wikia.nocookie.net/arthur/images/7/7c/Pets_and_Pests_main_image.png/revision/latest?cb=20190829010150,https://arthur.fandom.com/wiki/Pets_and_Pests
"""Go Fly a Kite""",17,7b,22-Apr-14,"While playing in the park, Binky, Muffy, and Ladonna stumble upon an abandoned kite. After failing to find its owner, they decide to take joint custody of it. But sharing it is easier said than done...",https://static.wikia.nocookie.net/arthur/images/2/26/1707b.png/revision/latest?cb=20140423070814,https://arthur.fandom.com/wiki/Go_Fly_a_Kite
"""The Director's Cut""",17,8a,12-May-14,"After meeting his hero, Hollywood director Tufton Sinclair, George is inspired to make a movie of his own. He enlists his friends as crew and Muffy as his producer. The problem is, everyone wants to be the director! Will George stand his ground or is his budding film career a flop?",https://static.wikia.nocookie.net/arthur/images/d/d6/Tdc.png/revision/latest?cb=20190829002020,https://arthur.fandom.com/wiki/The_Director%27s_Cut
"""Crime and Consequences""",17,8b,12-May-14,"When George accidentally breaks the class's prize woodworking project, Binky gets unfairly blamed. Will George come clean to Mr. Haney? Or will he let Binky take the fall?",https://static.wikia.nocookie.net/arthur/images/b/b6/Crime_and_Consequences_main_image.png/revision/latest?cb=20180325220337,https://arthur.fandom.com/wiki/Crime_and_Consequences
"""Caught in the Crosswires""",17,9a,13-May-14,"Muffy is thrilled when mega producer J3 chooses her family for his latest reality TV project. After all, she was born to be star! But when she's asked to amp up the drama between her and Bailey, she worries that she's being portrayed as a spoiled brat. Is it possible reality TV isn't as realistic as she thought?",https://static.wikia.nocookie.net/arthur/images/d/d3/Caught_in_the_Crosswires_main_image.png/revision/latest?cb=20190829002216,https://arthur.fandom.com/wiki/Caught_in_the_Crosswires
"""Framed!""",17,9b,13-May-14,"Buster has just won the best young artist award at the Elwood City Arts Festival. Sensing his work might be worth something someday, Muffy hires him to paint her portrait. But can he satisfy his critical client?",https://static.wikia.nocookie.net/arthur/images/d/dc/Framed.png/revision/latest?cb=20190829002728,https://arthur.fandom.com/wiki/Framed!
"""Binky's Music Madness""",17,10a,14-May-14,"Everyone loves the Bang on a Can All-Stars, a funky experimental music group that's touring around Elwood City. Everyone that is, except Binky. A musical purist, he thinks their nontraditional sound is just a bunch of noise and sets out to prove it. Will he succeed or is he headed for treble?",https://static.wikia.nocookie.net/arthur/images/f/fc/Bang_on_a_Can_All-Stars.jpg/revision/latest?cb=20140521030322,https://arthur.fandom.com/wiki/Binky%27s_Music_Madness
"""Brain Freeze""",17,10b,14-May-14,"A new ice cream shop has just opened up across the block. With whimsical flavor names, futuristic furniture, and a cute mascot named Puk-Puk, it is threatening to put the Powers' shop out of business. It's gonna be a rocky road...",https://static.wikia.nocookie.net/arthur/images/4/4c/Brain_Freeze.png/revision/latest?cb=20190829004355,https://arthur.fandom.com/wiki/Brain_Freeze
"""The Tattletale Frog""",18,1a,1-Oct-14,"When Bud is blamed for an accident D.W. causes, she has to decide whether to let her friend take the fall.[2]",https://static.wikia.nocookie.net/arthur/images/4/44/The_Tattletale_Frog.png/revision/latest?cb=20140924000856,https://arthur.fandom.com/wiki/The_Tattletale_Frog
"""D.W. & Bud's Higher Purpose""",18,1b,1-Oct-14,"D.W. and Bud can't wait to ride ""The Buzzard"", Wonderworld's newest roller coaster. Will they make it past the persnickety ticket taker...or come up short?[2]",https://static.wikia.nocookie.net/arthur/images/c/c8/D.W._%26_Bud%27s_Higher_Purpose.JPG/revision/latest?cb=20140913040953,https://arthur.fandom.com/wiki/D.W._%26_Bud%27s_Higher_Purpose
"""The Friend Who Wasn't There""",18,2a,29-Sep-14,Muffy embarks on an epic quest to find her long lost imaginary friend. But she has to be careful-the Crosswire basement is full of bewitched boxes and gadgets and dolls...oh my![4],https://static.wikia.nocookie.net/arthur/images/7/7e/The_Friend_Who_Wasn%27t_There.JPG/revision/latest?cb=20140905233655,https://arthur.fandom.com/wiki/The_Friend_Who_Wasn%27t_There
"""Surprise!""",18,2b,29-Sep-14,"It's Catherine's 16th birthday, and Francine has been cordially uninvited to the party. With the help of her friends, she whips up the perfect present for her big sister...a sneaky surprise with a side of payback![4]",https://static.wikia.nocookie.net/arthur/images/e/e9/Surprise.JPG/revision/latest?cb=20140905233831,https://arthur.fandom.com/wiki/Surprise!
"""The Case of the Girl with the Long Face""",18,3a,30-Sep-14,"Fern has been feeling low and no one can figure out why. Luckily, Buster is on the case! He'll leave no stone unturned, no lead unexplored, no ice cream uneaten...[6]",https://static.wikia.nocookie.net/arthur/images/f/f2/TCOTGWTLF_1.jpg/revision/latest?cb=20190508141800,https://arthur.fandom.com/wiki/The_Case_of_the_Girl_with_the_Long_Face
"""The Substitute Arthur""",18,3b,30-Sep-14,"With Arthur out of town, Buster is on the hunt for a new best friend. The problem is, he only wants to play games his way. Will he learn to compromise or is he destined to play alone?[6]",https://static.wikia.nocookie.net/arthur/images/1/13/The_Substitute_Arthur.JPG/revision/latest?cb=20150602055810,https://arthur.fandom.com/wiki/The_Substitute_Arthur
"""Best Wishes""",18,4a,2-Oct-14,"After George has a lucky streak, his friends pressure him to wish for a snow day. Can he deliver or is he out of luck?[7]",https://static.wikia.nocookie.net/arthur/images/5/56/1804ami.jpg/revision/latest?cb=20141018021903,https://arthur.fandom.com/wiki/Best_Wishes
"""The Tardy Tumbler""",18,4b,2-Oct-14,Prunella is excited about making the gymnastics team...until she realizes practice starts at 6am! Will she honor her commitment...or hit the snooze button?[7],https://static.wikia.nocookie.net/arthur/images/5/52/1804bmi.jpg/revision/latest?cb=20141018021931,https://arthur.fandom.com/wiki/The_Tardy_Tumbler
"""Fountain Abbey""",18,5a,26-Jan-15,"Muffy is devastated when she learns her great, great grandmother, Mary Alice Miller, wasn't royalty, but a common maid. The indignity! However, her old diary reveals a more interesting story.[9]",https://static.wikia.nocookie.net/arthur/images/f/f0/Season_18_Promo.JPG/revision/latest?cb=20150107021824,https://arthur.fandom.com/wiki/Fountain_Abbey
"""Arthur Calls It""",18,5b,26-Jan-15,"Pressure from his classmates has Arthur doubting his decision to call Buster out during a baseball game. Will he succumb to peer pressure, or stick with what he believes is right?[9]",https://static.wikia.nocookie.net/arthur/images/9/97/ACI7.jpg/revision/latest?cb=20150201093401,https://arthur.fandom.com/wiki/Arthur_Calls_It
"""Whip. Mix. Blend.""",18,6a,7-Sep-15,"When Rattles' mother starts dating Archie Vanderloo, Rattles finds himself spending lots of time with Archie's twins. The problem is, he doesn't have anything in common with them! Can this blended family learn to get along?[10]",https://static.wikia.nocookie.net/arthur/images/8/8d/Whip-mix-blend.png/revision/latest?cb=20190320034639,https://arthur.fandom.com/wiki/Whip._Mix._Blend.
"""Staycation""",18,6b,7-Sep-15,Arthur offers to babysit so that his parents can enjoy some peace and quiet in the backyard. What could go wrong? With D.W. on the loose...just about everything![10],https://static.wikia.nocookie.net/arthur/images/8/8a/1806bstaycation.png/revision/latest?cb=20180318160912,https://arthur.fandom.com/wiki/Staycation
"""Two Minutes""",18,7a,1-Jun-15,"Power shifts in the Tibbles' house when the twins find out Tommy is two minutes older than Timmy. Frustrated in his new role, Timmy enlists the help of an expert older brother tamer: D.W.![12]",https://static.wikia.nocookie.net/arthur/images/8/82/1807atwominutes.png/revision/latest?cb=20190327031026,https://arthur.fandom.com/wiki/Two_Minutes
"""Messy Dress Mess""",18,7b,1-Jun-15,Ladonna is thrilled when Muffy loans her a beautiful recital dress. But a run-in with a painted bench leaves Ladonna wondering how to break the news to her fashionista friend.[12],https://static.wikia.nocookie.net/arthur/images/8/8b/Messy_Dress_Mess.png/revision/latest?cb=20150714074422,https://arthur.fandom.com/wiki/Messy_Dress_Mess
"""Arthur Read: Super Saver""",18,8a,9-Sep-15,"Business is slow for David and Jane Read, and Arthur is concerned. Can this ""super saver"" find ways to keep his family in the green?[13]",https://static.wikia.nocookie.net/arthur/images/0/08/1808asupersaver.png/revision/latest?cb=20180318171612,https://arthur.fandom.com/wiki/Arthur_Read:_Super_Saver
